X,Type,KeyCite.Treatment,KeyCite.URL,Title,Document.URL,Court.Line,Filed.Date,Citation,Parallel.Cite,Docket.Num,year,INCLUDE FINAL?,Why,Pro-antitrust enforcement,Direct Appeal from District Court?,party1,party2,scoreType,partyDecisionFavored,Robinson-Patman Claim,Merger,Sherman 1,Sherman 2
38,Cases,NA,NA,U.S. v. Employing Plasterers Ass'n of Chicago,https://www.westlaw.com/Document/I222310cb9bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=61&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-Mar-54,347 U.S. 186,74 S.Ct. 452,440,1954,Yes,"DoJ accuses a trade association of plastering contractors, a local labor union and the Union's president of organizing a cartel in violation of Section 1. Supreme Court says it was, and that together they controlled 60% of the market. Defendants implemented the cartel by withholding inputs. This woud impact interstate markets for inputs at least.",Yes,Yes,Government,Union,govCase,p1,No,No,Yes,No
92,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I64e257429c1d11d9bc61beebb95be672&rank=148&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Partmar Corp. v. Paramount Pictures Theatres Corp.,https://www.westlaw.com/Document/I64e257429c1d11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=148&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-Feb-54,347 U.S. 89,74 S.Ct. 414,17,1954,Yes,"Discusses Res Judicata in an antitrust case, on whether a company can bring a treble damages complaint on top of another dispute that resulted in a settlement. SC Confirms it cannot. (it is res judicata)",No,No,Smaller company,Bigger company,plb,p2,No,No,Yes,yes
110,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I61875a8e9c1f11d9bc61beebb95be672&rank=178&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"Theatre Enterprises, Inc. v. Paramount Film Distributing Corp.",https://www.westlaw.com/Document/I61875a8e9c1f11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=178&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,4-Jan-54,346 U.S. 537,74 S.Ct. 257,19,1954,Yes,"Theatre inc. files a lawsuit for treble damages against Paramount for restricting the first-run pictures in downtown baltimore theaters. Jury sided with defendants, and so did the Supreme Court.",No,No,Smaller company,Bigger company,plb,p2,no,no,no,no
111,Cases,NA,NA,U.S. v. Employing Lathers Ass'n of Chicago and Vicinity,https://www.westlaw.com/Document/I8bd4730a9bf111d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=179&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-Mar-54,347 U.S. 198,74 S.Ct. 455,439,1954,Yes,"Lawsuit against Lathing contractors and an association for violation of Section 1 of the Sherman Act, that would totally limit competition in the Chicago Area. Distrct Cout affirms no interstate business was impacted and there was no clear cause of action on which there can be relief. SC disagrees, affirming there was and using the justification of the Plasters case.",Yes,Yes,Government,Professional association,plb,p1,no,no,yes,no
113,Cases,NA,NA,United Shoe Machinery Corp. v. U.S.,https://www.westlaw.com/Document/I2e37a5939bf211d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=181&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,17-May-54,347 U.S. 521,74 S.Ct. 699,394,1954,Yes,US brings antitrust lawsuit under section 4 of the Sherman Act. Not clear what the dispute is. Supreme Court sides with Government,Yes,Yes,Company,Government,govCase,p2,no,no,no,no
134,Cases,NA,NA,U.S. v. Borden Co.,https://www.westlaw.com/Document/I220fd6e39bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=216&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,17-May-54,347 U.S. 514,74 S.Ct. 703,464,1954,Yes,"US sues 10 Chicago diaries, saying they conspired to monopolize the sale of fluid milk to wholesale customers in the Chicago Area in violatoin of the Sherman and the price discrimination part of the Clayton Act. District Court dismissed saying there was no conspiracy and former decree already prohibited the conduct in question. Supreme Court agrees there is no evidence of conspiracy.",No,Yes,Government,Company,govCase,p2,yes,no,yes,yes
51,Cases,NA,NA,United States v. Shubert,https://www.westlaw.com/Document/Id39060909be911d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=85&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,31-Jan-55,348 U.S. 222,75 S.Ct. 277,36,1955,Yes,Involves exclusive contracts and other discriminatory provisions in the booking of legitimate attractions throughout the US. Defendants were the largest suppliers of these service and would be blocking potential competitors. US sues for Section 1 and 2 violation. District Court dismisses as not impacting trade or commerce among several states. Supreme Court says defendants are clearly within the scope of the Sherman Act,Yes,Yes,Government,Company,govCase,p1,no,no,yes,yes
96,Cases,NA,NA,United States v. International Boxing Club of N.Y.,https://www.westlaw.com/Document/I22277d949bf011d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=157&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,31-Jan-55,348 U.S. 236,75 S.Ct. 259,53,1955,Yes,"Government argues defendants organized a conspiracy to control the promotion, exhibition, broadcasting and other distribution of professional boxing in the US by celebrating exclusive contracts. Defendants claim exemption  because fights would not be ""interstate"" but local, following the MLB and other cases. District Court agrees. Supreme Court reverses.",Yes,Yes,Government,Company,govCase,p1,no,no,yes,yes
15,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id4c587879c1d11d991d0cc6b54f12d4d&rank=23&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U. S. v. E. I. du Pont de Nemours & Co.,https://www.westlaw.com/Document/Id4c587879c1d11d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=23&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,11-Jun-56,351 U.S. 377,76 S.Ct. 994,5,1956,Yes,"Famous DuPont Cellophane case. Government alleges that DuPont was monopolizing the sale of cellophane in the US, in violation of Section 2 of the Sherman Act. DuPont had a 75% market share, but DuPont alleges that it cannot control the power of the product because of competiton, as other packaging materials compete with Cellophane and DuPont would only have a 20% share in those. Supreme Court sides with DuPont, affirming that cellophane compete with other wrapping materials.",No,Yes,Government,Company,govCase,p2,no,no,no,yes
29,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d274d649c9711d993e6d35cc61aab4a&rank=47&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"U.S. v. McKesson & Robbins, Inc.",https://www.westlaw.com/Document/I1d274d649c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=47&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,11-Jun-56,351 U.S. 305,76 S.Ct. 937,448,1956,Yes,"Company was a large manufacturere of drugs, and sold them to retailers through its own wholesale and through independent wholesale businesses. It had a minimum ""fair price"" clause on its sales, that applied to both its wholesale business and independent ones. Government sues for illegal price fixing under Section 1. District Court sides with defendants, affirming that this was not a per se violation absent other restraints of competition. Supreme Court reverts.",Yes,Yes,Government,Company,govCase,p1,no,no,yes,no
67,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I582c1a2c9bed11d9bdd1cfdd544ca3a4&rank=112&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Radovich v. National Football League,https://www.westlaw.com/Document/I582c1a2c9bed11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=112&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,25-Feb-57,352 U.S. 445,77 S.Ct. 390,94,1957,Yes,Discusses whether Football is subject to antitrust laws or can be exempt like the MLB. Court affirms that there is no exemption,Yes,No,Individual,Company,plb,p1,no,no,yes,yes
223,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d274d579c9711d993e6d35cc61aab4a&rank=391&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. E. I. du Pont de Nemours & Co.,https://www.westlaw.com/Document/I1d274d579c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=391&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,3-Jun-57,353 U.S. 586,77 S.Ct. 872,3,1957,Yes,"US challenged DuPont's acquisition of a 23% stake in General Motors under Section 7 of the Clayton Act. Question is on whether DuPont's leadership position in the amrket for automotive finishes and fabrics is because of its merits or because of its vertical relationship. This was the first challenge to a vertical acquisition of stock. District Court dismissed. Supreme Court affirms that the relationship is very important for the finishes market, given the large size of GM (40% or more of cars at the time). In addition, also holds that the Government is not foreclosed from brining cases to challenge acquisitions decades after the acquisition had elapsed. Supreme Court holds that the likelyhood of foreclosure was clear since the acquisiton (it was even the intention) and that the parties had acted upon it. Orders the District Court to assess what is the appropriate remedy.",Yes,Yes,Government,Company,govCase,p1,No,yes,No,No
283,Cases,NA,NA,Lawlor v. National Screen Service Corp.,https://www.westlaw.com/Document/I424570059bf511d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=484&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,25-Feb-57,352 U.S. 992,77 S.Ct. 526 (Mem),632,1957,Yes,Discusses whether a cause of action for treble damages is barred by a previous settlement between plantiffs and some of the defendants. District and Circuit Court affirmed it was barred. Supreme Court disagrees because: (i) cause of action is different; (ii) defendants are different. Reverses,Yes,No,Smaller company,Bigger company,plb,p1,No,No,yes,no
5,Cases,Yellow KeyCite and Overruling Risk KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I178aec879c1f11d993e6d35cc61aab4a&rank=9&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0 and https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I178aec879c1f11d993e6d35cc61aab4a&rank=9&listSource=Search&list=CASE&ppcid=b18d1b401c9641b1968849a12b3ce680&overruleRisk=true&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Northern Pac. Ry. Co. v. U.S.,https://www.westlaw.com/Document/I178aec879c1f11d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=9&sessionScopeId=4a6bcb31e9675ef0acfae459b458bc7a24707b4c0ab556f2bd5fd10cc6c5456c&ppcid=b18d1b401c9641b1968849a12b3ce680&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,10-Mar-58,356 U.S. 1,78 S.Ct. 514,59,1958,Yes,"Northern Pacific held large grants of land, connected to the areas around its tracks. Northern Pacific leased much of this land, but required by contract that the lessee used only its railroads to ship goods. US sues as violation of Section 1 of the Sherman Act. District Court enjoined the ""preferential routing"" clauses. Railroad appeals. Supreme Court affirms, saying this was clearly a tying arrangement.",Yes,Yes,Company,Government,govCase,p2,No,No,yes,no
