X,Type,KeyCite.Treatment,KeyCite.URL,Title,Document.URL,Court.Line,Filed.Date,Citation,Parallel.Cite,Docket.Num,year,INCLUDE FINAL?,Why,Pro-antitrust enforcement,Direct Appeal from District Court?,party1,party2,scoreType,partyDecisionFavored,Robinson-Patman Claim,Merger,Sherman 1,Sherman 2
23,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I178a77599c1f11d993e6d35cc61aab4a&rank=271&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. Barnett,https://www.westlaw.com/Document/I178a77599c1f11d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=271&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,6-Apr-64,376 U.S. 681,84 S.Ct. 984,107,1964,No,Case on criminal contempt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1d26d82b9c9711d993e6d35cc61aab4a&rank=48&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,F.T.C. v. Consolidated Foods Corp.,https://www.westlaw.com/Document/I1d26d82b9c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=48&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,28-Apr-65,380 U.S. 592,85 S.Ct. 1220,422,1965,Yes,"The question presented involves an important construction and application of § 7 of the Clayton Act,[1] 38 Stat. 731, as amended, 15 U. S. C. § 18. Consolidated Foods Corp.—which owns food processing plants and a network of wholesale and retail food stores—acquired Gentry, Inc., in 1951. Gentry manufactures principally dehydrated onion and garlic. The Federal Trade Commission held that the acquisition violated § 7 because it gave respondent the advantage of a mixed threat and lure of reciprocal buying in its competition for business and ""the power to foreclose competition from a substantial share of the markets for dehydrated onion and garlic."" It concluded, in other words, that the effect of the acquisition ""may be substantially to lessen competition"" within the meaning of § 7, and it ordered divestiture and gave other relief. ___ F. T. C. ___, ___. The Court of Appeals, relying mainly on 10 years of post-acquisition experience, held that the Commission had failed to show a probability that the acquisition would substantially lessen competition. 329 F. 2d 623. The case is here on certiorari. 379 U. S. 912.

We hold at the outset that the ""reciprocity"" made possible by such an acquisition is one of the congeries of anticompetitive practices at which the antitrust laws are aimed. The practice results in ""an irrelevant and alien factor,"" ___ F. T. C., p. ___, intruding into the choice among competing products, creating at the least ""a priority on the business at equal prices."" International Salt Co. v. United States, 332 U. S. 392, 396-397; Northern Pac. R. Co. v. United States, 356 U. S. 1, 3, 6, 12. Reciprocal trading may ensue not from bludgeoning or coercion but from more subtle arrangements. A threatened withdrawal of orders if products of an affiliate cease being bought, as well as a conditioning of future purchases on the receipt of orders for products of that affiliate, is an anticompetitive practice.[2] Section 7 of the Clayton Act is concerned ""with probabilities, not certainties."" Brown Shoe Co. v. United States, 370 U. S. 294, 323; United States v. Philadelphia Nat. Bank, 374 U. S. 321, 362. Reciprocity in trading as a result of an acquisition violates § 7, if the probability of a lessening of competition is shown. We turn then to that, the principal, aspect of the present case.

Consolidated is a substantial purchaser of the products of food processors who in turn purchase dehydrated onion and garlic for use in preparing and packaging their food. Gentry, which as noted is principally engaged in the manufacture of dehydrated onion and garlic, had in 1950, immediately prior to its acquisition by Consolidated, about 32% of the total sales of the dehydrated garlic and onion industry and, together with its principal competitor, Basic Vegetable Products, Inc., accounted for almost 90% of the total industry sales. The remaining 10% was divided between two other firms. By 1958 the total industry output of both products had doubled, Gentry's share rising to 35% and the combined share of Gentry and Basic remaining at about 90%
(...)
We conclude that there is substantial evidence to sustain that conclusion and that the order of the Commission should not have been denied enforcement. The judgment of the Court of Appeals is accordingly

Reversed.",Yes,No,Government,Company,govCase,p1,No,Yes,No,No
25,Cases,,,U. S. v. Boston & M. R. R.,https://www.westlaw.com/Document/I18e406fb9bea11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=93&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-Mar-65,380 U.S. 157,85 S.Ct. 868,232,1965,Yes,"This is a direct appeal under the Criminal Appeals Act, 18 U. S. C. § 3731, from the District Court's order dismissing Count I of an indictment (225 F. Supp. 577) for failure to state an offense under § 10 of the Clayton Act, 38 Stat. 734, 15 U. S. C. § 20. That section provides in relevant part:

""No common carrier engaged in commerce shall have any dealings in securities, supplies, or other articles of commerce, or shall make or have any contracts for construction or maintenance of any kind, to the amount of more than $50,000, in the aggregate, in any one year, with another corporation, firm, partnership, or association when the said common carrier shall have upon its board of directors or as its president, manager, or as its purchasing or selling officer, or agent in the particular transaction, any person who is at the same time a director, manager, or purchasing or selling officer of, or who has any substantial interest in, such other corporation, firm, partnership, or association, unless and except such purchases shall be made from, or such dealings shall be with, the bidder whose bid is the most favorable to such common carrier, to be ascertained by competitive bidding under regulations to be prescribed by rule or otherwise by the Interstate Commerce Commission. . . ."" (Italics added.)
Count I charged that appellee railroad and the three other appellees, officers of the railroad, violated § 10 by the road's sale on August 14, 1958, of 10 coaches valued in excess of $50,000 to the International Railway Equipment Corp. in which the three officers had ""a substantial interest."" competitive bidding not having been used. That count charged that appellee McGinnis knowingly voted 159*159 for the sale and that all three appellee officers knowingly directed the act.
(...) 
But we are confined by the words that Congress used in § 10. If the rule of strict construction is to be followed, the words ""substantial interest in,"" as used in § 10, presuppose either an existing investment of some kind in International, or the creation of International by the three individual appellees for their use, or a joint venture or continued course of dealings, licit or illicit, with International for profit sharing. But it is doubtful that this indictment, as illuminated by the bill of particulars, alleges anything more in substance than a bribe. Bribery might well be in the family of offenses covered under a conflict of interest statute. But it is more remote from an antitrust frame of reference. While history shows a rather wide pattern of railroad misconduct leading to § 10, that section is a rather narrow prohibition applicable to activity that is conceptually within the antitrust philosophy. We cannot broaden it to include the present case, unless we attribute to Congress a purpose to make it a more general panacea for conflict of interest activities; but neither do we take the same narrow view of the statute as the District Court.

Since the Government may choose to file, and the District Court may choose to allow, an amended bill of particulars,[3] we vacate and remand the case, leaving open all questions except our construction of the statute.

Vacated and remanded.",Yes,No,Government,Company,govCase,p1,No,No,No,No
26,Cases,,,Seaboard Air Line R. Co. v. U. S.,https://www.westlaw.com/Document/Ic83981029be811d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=102&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,22-Nov-65,382 U.S. 154,86 S.Ct. 277,"555, 425",1965,Yes,"Atlantic Coast Line Railroad Company and Seaboard Air Line Railroad Company filed with the Interstate Commerce Commission an application for authority to merge. In the administrative proceedings, the applicants contended that the merger would enable them to lower operating costs, improve service, and eliminate duplicate facilities; other carriers opposed the merger on the ground that it would have adverse competitive effects; and the Department of Justice contended that the merger would create a rail monopoly in central and western Florida.

The Commission approved the merger, subject to routing and gateway conditions to protect competing railroads. It recognized that the merger would eliminate competition and create a rail monopoly in parts of Florida. But it found that the merged lines carried only a small part of the total traffic in the area involved; that ample rail competition would remain therein; and that the reduction in competition would ""have no appreciably injurious effect upon shippers and communities."" Seaboard Air Line Railroad Co., 320 I. C. C. 122, 167. In addition, the Commission noted that the need to preserve intramodal rail competition had diminished, due to the fact that railroads were increasingly losing traffic to truck, water, and other modes of competition.

A three-judge District Court set aside the order and remanded the case to the Commission for further proceedings. It concluded that the Commission's analysis of the competitive effects of the merger was fatally defective because the Commission had not determined whether 156*156 the merger violated § 7 of the Clayton Act, 38 Stat. 731, 15 U. S. C. § 18 (1964 ed.), by reference to the relevant product and geographic markets. By thus disposing of the case, the District Court did not reach the ultimate question whether the merger would be consistent with the public interest despite the foreseeable injury to competition.[1]

We believe that the District Court erred in its interpretation of the directions this Court set forth in McLean Trucking Co. v. United States, 321 U. S. 67 (1944), and Minneapolis & St. Louis R. Co. v. United States, 361 U. S. 173 (1959). (...) 

Whether the Commission has confined itself within the statutory limits upon its discretion and has based its findings on substantial evidence are questions for the trial court in the first instance, United States v. Great Northern R. Co., 343 U. S. 562, 578 (1952), and we indicate no opinion on the same. We therefore vacate the judgment of the District Court and remand the case to it for a full review of the administrative order and findings pursuant to the standards enunciated by this Court.

Vacated and remanded.",No,Yes,Company,Government,govCase,p1,No,Yes,No,No
27,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6167ebae9c1f11d9bc61beebb95be672&rank=350&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Burnett v. New York Cent. R. Co.,https://www.westlaw.com/Document/I6167ebae9c1f11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=350&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,5-Apr-65,380 U.S. 424,5 Ohio Misc. 197,437,1965,No,Unrelated case,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6167c49e9c1f11d9bc61beebb95be672&rank=360&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,U.S. v. Brown,https://www.westlaw.com/Document/I6167c49e9c1f11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CASE&rank=360&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,7-Jun-65,381 U.S. 437,85 S.Ct. 1707,399,1965,No,"In this case we review for the first time a conviction under § 504 of the Labor-Management Reporting and Disclosure Act of 1959, which makes it a crime for a member of the Communist Party to serve as an officer or (except in clerical or custodial positions) as an employee of a labor union.[1] Section 504, the purpose of which is to protect 439*439 the national economy by minimizing the danger of political strikes,[2] was enacted to replace § 9 (h) of the National Labor Relations Act, as amended by the Taft-Hartley Act, which conditioned a union's access to the National Labor Relations Board upon the filing of affidavits by all of the union's officers attesting that they were not members of or affiliated with the Communist Party.[3]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
29,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea1adbf9c9611d993e6d35cc61aab4a&rank=100&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,F.T.C. v. Dean Foods Co.,https://www.westlaw.com/Document/Icea1adbf9c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=100&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,13-Jun-66,384 U.S. 597,86 S.Ct. 1738,970,1966,Yes,"At issue here is the power of the Court of Appeals under the All Writs Act, 28 U. S. C. § 1651 (a) (1964 ed.), to temporarily enjoin the consummation of a merger that is under attack before the Federal Trade Commission as violative of § 7 of the Clayton Act, as amended, 64 Stat. 1125, 15 U. S. C. § 18 (1964 ed.). This case arose on the application of the Commission for a temporary restraining order and a preliminary injunction against respondents Dean Foods Company and Bowman Dairy Company to maintain the status quo until the Commission determined the legality of their merger. The Commission alleged that it had issued a complaint against respondents under § 7 of the Clayton Act and § 5 of the Federal Trade Commission Act, 38 Stat. 719, as amended, 52 Stat. 111, 15 U. S. C. § 45 (1964 ed.), and that from the facts underlying the complaint ""it is probable that the Federal Trade Commission will enter an order finding a violation of these laws."" The petition stated that there was a ""compelling"" need for preliminary relief since the ""acquisition itself will split Bowman in two—Dean will acquire fixed assets, receivables and good will; Bowman will retain all cash, government and other marketable securities, and some real estate investments"" for distribution to its stockholders.[1] In addition, it was alleged that Dean planned to dispose of most of Bowman's retail milk routes, certain of its plants and equipment, and to consolidate the remaining assets. The Commission thus argued that if the merger were allowed to be completed, ""Bowman as an entity will no longer exist,"" and that it ""will be `extremely difficult and very probably impossible'"" 600*600 to restore Bowman as ""a viable independent"" company if the merger were subsequently ruled illegal. In other words, consummation of the agreement would ""prevent the Commission from devising, or render it extremely difficult for the Commission to devise, any effective remedy after its decision on the merits."" As grounds for issuance of an extraordinary writ, the Commission asserted that the Court of Appeals ""will, in effect, be deprived of its appellate jurisdiction [over final Commission orders] and of the opportunity to enter a meaningful final order of its own in respect to this acquisition, since the res in custodia legis—Bowman—will have vanished.""

The Court of Appeals entered a temporary restraining order against respondents, as prayed. On the hearing for a preliminary injunction, however, it dissolved the temporary restraining order and dismissed the petition for the reasons that ""no cease and desist order has been entered by the Commission relative to the subject matter in the case at bar and . . . we now hold that the Commission did not have authority to institute this proceeding in this court . . . ."" In its final judgment the Court of Appeals supported its refusal to grant relief at the request of the Commission. (...)

We granted certiorari on February 18, 1966, 383 U. S. 901, and expedited consideration of this case. We conclude that the Court of Appeals erred and reverse its judgment.",Yes,No,Government,Company,govCase,p1,No,Yes,No,No
30,Cases,,,F.T.C. v. Procter & Gamble Co.,https://www.westlaw.com/Document/Icea1adb99c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=40&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,11-Apr-67,386 U.S. 568,87 S.Ct. 1224,342,1967,Yes,"This is a proceeding initiated by the Federal Trade Commission charging that respondent, Procter & Gamble Co., had acquired the assets of Clorox Chemical Co. in violation of § 7 of the Clayton Act, 38 Stat. 731, as amended by the Celler-Kefauver Act, 64 Stat. 1125, 570*570 15 U. S. C. § 18.[1] The charge was that Procter's acquisition of Clorox might substantially lessen competition or tend to create a monopoly in the production and sale of household liquid bleaches.

Following evidentiary hearings, the hearing examiner rendered his decision in which he concluded that the acquisition was unlawful and ordered divestiture. On appeal, the Commission reversed, holding that the record as then constituted was inadequate, and remanded to the examiner for additional evidentiary hearings. 58 F. T. C. 1203. After the additional hearings, the examiner again held the acquisition unlawful and ordered divestiture. The Commission affirmed the examiner and ordered divestiture. 63 F. T. C. __. The Court of Appeals for the Sixth Circuit reversed and directed that the Commission's complaint be dismissed. 358 F. 2d 74. We find that the Commission's findings were amply supported by the evidence, and that the Court of Appeals erred.",Yes,No,Government,Company,govCase,p1,No,Yes,No,No
31,Cases,,,"F.T.C. v. Jantzen, Inc.",https://www.westlaw.com/Document/I1d263bf19c9711d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=59&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,13-Mar-67,386 U.S. 228,87 S.Ct. 998,310,1967,Yes,"This case involves the effect of the Act of July 23, 1959, 73 Stat. 243 (Finality Act), upon orders issued by the Federal Trade Commission under § 11 of the Clayton Act, 38 Stat. 734, prior to the date of the former Act. The respondent claims that the Finality Act repealed the enforcement provisions of § 11 of the Clayton Act, 15 U. S. C. § 21 (1958 ed.), and that orders of the Commission entered prior to the enactment of the Finality Act are not now enforceable. The Court of Appeals agreed, held that it had no jurisdiction to enforce such orders and directed that the proceeding be dismissed. 356 F. 2d 253. In view of the pendency of almost 400 such orders and the conflict among the circuits[1] on the point, we granted certiorari. 385 U. S. 810.

The facts are not disputed, save on points not relevant here, and will not be stated in detail. Jantzen manufactures men's, women's, and children's apparel. On September 4, 1958, it was charged by the Commission with having violated § 2 (d) of the Clayton Act by allowing discriminatory advertising and promotional allowances to certain of its customers. Jantzen did not answer the complaint. However, it consented to the entry of a cease-and-desist order against it prohibiting further discrimination in advertising and promotional activities. 230*230 This agreement and a form of order were approved by a hearing examiner and on January 16, 1959, the order was adopted by the Commission. On July 22, 1964, some five years after the adoption of the Finality Act, the Commission ordered an investigation into charges that Jantzen had violated the 1959 consent order. Jantzen stipulated before a hearing examiner that it had violated the consent order by granting discriminatory allowances to customers in Chattanooga, Tenn., and Brooklyn, N. Y. The Commission thereafter concluded that Jantzen had violated the order. It then applied to the Court of Appeals for an order affirming and enforcing the original order. The application was based on the provisions of the third paragraph of § 11 of the original Clayton Act, which authorized the Commission, in the event such an order was not obeyed, to apply to a court of appeals for its ""enforcement."" Jantzen claimed that the amendment of § 11 by the Finality Act resulted in a repeal of the Commission's authority to seek, and the courts' to grant, affirmance and enforcement of such orders. The Court of Appeals agreed and dismissed the application for lack of jurisdiction. We reverse and remand the proceedings for further consideration in light of this opinion.",Yes,No,Government,Company,govCase,p1,Yes,No,No,No
32,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie9c015339c1b11d9bdd1cfdd544ca3a4&rank=85&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Cascade Natural Gas Corp. v. El Paso Natural Gas Co.,https://www.westlaw.com/Document/Ie9c015339c1b11d9bdd1cfdd544ca3a4/View/FullText.html?listSource=Search&list=CASE&rank=85&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,27-Feb-67,386 U.S. 129,87 S.Ct. 932,"156297, 4",1967,Yes,"Third part of the El Paso Litigation, now to affirm once more the order for divestiture. Supreme Court sides with U.S. and orders immediate divestiture aligned with the plan approve in the case above",Yes,Yes,Government,Company,govCase,p1,No,Yes,No,No
33,Cases,,,F.T.C. v. Universal-Rundle Corp.,https://www.westlaw.com/Document/I0a3d5bf79bf011d991d0cc6b54f12d4d/View/FullText.html?listSource=Search&list=CASE&rank=109&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,29-May-67,387 U.S. 244,87 S.Ct. 1622,101,1967,Yes,"The question presented by this case is whether the Court of Appeals exceeded its authority as a reviewing court by postponing the operation of a Federal Trade Commission cease-and-desist order against respondent until an investigation should be made of alleged industry-wide violations of the price discrimination provisions of the Clayton Act, § 2, 38 Stat. 730, as amended by the Robinson-Patman Act, 49 Stat. 1526, 15 U. S. C. § 13.

Respondent Universal-Rundle produces a full line of china and cast-iron plumbing fixtures which it sells to customers located throughout the United States. In 1960, the Federal Trade Commission issued a complaint charging that for more than three years Universal-Rundle's sales to some of these customers had been made ""at substantially higher prices than the prices at which respondent sells such products of like grade and quality to other purchasers, some of whom are engaged in competition with the less favored purchasers in the resale of such products."" The effect of the discriminations, the complaint alleged, ""may be substantially to lessen competition"" in violation of § 2 (a) of the Clayton Act, as amended. In its answer, Universal-Rundle denied the essential allegations of the complaint, and, in addition, asserted as affirmative defenses that such price differentials as may have existed were cost justified or were made ""in good faith to meet competition.""

After evidentiary hearings, in which Universal-Rundle made no effort to sustain its affirmative defenses, the Commission found that during 1957 Universal-Rundle had offered ""truckload discounts"" averaging approximately 10% to all of its customers. Because some of these customers could not afford to purchase in truckload quantities, and thus were unable to avail themselves 246*246 of the discounts, the Commission held that the offering of the truckload discounts constituted price discrimination within the meaning of § 2 (a) of the Clayton Act, as amended. Since some Universal-Rundle customers who were able to purchase in truckload quantities were found to be in competition with customers unable to take advantage of the discounts, the Commission concluded that Universal-Rundle's price discrimination had the anticompetitive effect proscribed by § 2 (a).
(...)
Following denial of its petition for a stay, Universal-Rundle instituted review proceedings in the Court of Appeals for the Seventh Circuit. Without reaching the merits of the petition to set aside the cease-and-desist order, the court below set aside the Commission's order denying the stay and remanded the cause with instructions that the Commission conduct an industry investigation. (...) 

The Commission's refusal to withhold enforcement of the cease-and-desist order against respondent was based upon a reasonable evaluation of the merits of the petition for a stay; thus it was not within the scope of the reviewing authority of the court below to overthrow the Commission's determination. Consequently, we reverse the judgment below, set aside the stay, and remand the cause for further proceedings consistent with this opinion.[5]

It is so ordered.
",Yes,No,Government,Company,govCase,p1,Yes,No,No,No
34,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icea186af9c9611d993e6d35cc61aab4a&rank=280&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"F.T.C. v. Flotill Products, Inc.",https://www.westlaw.com/Document/Icea186af9c9611d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=280&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,4-Dec-67,389 U.S. 179,88 S.Ct. 401,20,1967,Yes,"The question in this case is whether an enforceable cease-and-desist order of the Federal Trade Commission requires the concurrence of a majority of the full Commission, or only of a majority of the quorum that participated in the decision to issue the order.

The Commission has five Commissioners, 15 U. S. C. § 41.[1] A full Commission heard oral argument in this case involving a complaint that respondent made payments in lieu of brokerage in violation of § 2 (c) of the Robinson-Patman Act and granted promotional allowances in violation of § 2 (d) of that Act. 15 U. S. C. §§ 13 (c) and (d). Two Commissioners retired before the Commission rendered its decision. Although one vacancy was filled in the interim, only three Commissioners participated in the decision because the new Commissioner, not having heard the oral argument, declined to participate. All three participating Commissioners concurred that respondent granted promotional allowances in violation of § 2 (d). However, only two of the three concurred that respondent also made payments in lieu of brokerage in violation of § 2 (c). On petition for review under 15 U. S. C. §§ 21 (c) and 45 (c), a three-judge panel of the Court of Appeals for the Ninth Circuit enforced the Commission's cease-and-desist order as it related to the § 2 (d) violation but refused to enforce the order, one judge dissenting, as it related to the § 2 (c) violation. In refusing to enforce the § 2 (c) part of the order, the Court of Appeals held that ""absent statutory authority or instruction to the contrary, three members of a five member commission must concur in order to enter a binding order on behalf of the commission."" 358 F. 2d 224, 228.[2] On rehearing en banc the full court sustained the panel decision five to four. 358 F. 2d, at 234. Because of a conflict with decisions of other courts of appeals, see Atlantic Refining Co. v. FTC, 344 F. 2d 599 (C. A. 6th Cir.), LaPeyre v. FTC, 366 F. 2d 117 (C. A. 5th Cir.), we granted certiorari, 386 U. S. 1003. We reverse.",Yes,No,Government,Company,govCase,p1,Yes,No,No,No
35,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id39172029be911d993e6d35cc61aab4a&rank=308&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Fleischmann Distilling Corp. v. Maier Brewing Co.,https://www.westlaw.com/Document/Id39172029be911d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=308&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,8-May-67,386 U.S. 714,87 S.Ct. 1404,214,1967,No,"This is a trademark case arising under the Lanham Act (60 Stat. 427, 15 U. S. C. §§ 1051-1127) in which our sole concern is with the relief that may be granted when deliberate infringement of a valid trademark has been established. The question is whether federal courts have power in that context to award reasonable attorney's fees as a separate element of recovery in light of § 35 of 715*715 the Act which enumerates the available compensatory remedies.[1]",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I177a71c89c1f11d993e6d35cc61aab4a&rank=311&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,"International Longshoremen's Ass'n, Local 1291 v. Philadelphia Marine Trade Ass'n",https://www.westlaw.com/Document/I177a71c89c1f11d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=311&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,6-Nov-67,389 U.S. 64,88 S.Ct. 201,"34, 78",1967,No,Labor law case,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Cases,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Id8ed7bca9c1c11d993e6d35cc61aab4a&rank=295&listSource=Search&list=CASE&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Bloom v. State of Ill.,https://www.westlaw.com/Document/Id8ed7bca9c1c11d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CASE&rank=295&sessionScopeId=4bf52b47ab8a30a0c354223d42e8203fa804931858114e1d1270d4986c81673b&ppcid=e20d53891a2b47faa7bc74de77bf5729&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Supreme Court of the United States,20-May-68,391 U.S. 194,88 S.Ct. 1477,52,1968,No,Criminal contempt case,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
